date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:38:10	42519/42519	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Aug%202023%2004:08:09%20GMT	https://p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/index.html	C:/My%20Web%20Sites/w3/p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/index.html	(from )
09:38:11	1003/1003	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Aug%202023%2012:38:00%20GMT	https://p.w3layouts.com/robots.txt		(from )
09:38:12	68053/68053	---M-Z	200	added ('OK')	application/javascript	etag:%22f0dc887d4604e5d68995d1237ecdde3a%22	http://m.servedby-buysellads.com/monetization.js	C:/My%20Web%20Sites/w3/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/index.html)
09:38:12	343570/343570	---MCZ	200	added ('OK')	text/css	date:Sat,%2014%20May%202022%2012:44:20%20GMT	https://p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/assets/css/style-liberty.css	C:/My%20Web%20Sites/w3/p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/assets/css/style-liberty.css	(from https://p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/index.html)
09:38:12	31000/31000	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Jan%202021%2016:54:58%20GMT	https://p.w3layouts.com/assests/css/font-awesome.min.css	C:/My%20Web%20Sites/w3/p.w3layouts.com/assests/css/font-awesome.min.css	(from https://p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/index.html)
09:38:13	33499/33499	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Aug%202023%2004:08:13%20GMT	https://p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/about.html	C:/My%20Web%20Sites/w3/p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/about.html	(from https://p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/index.html)
09:38:13	28861/28861	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Aug%202023%2004:08:13%20GMT	https://p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/services.html	C:/My%20Web%20Sites/w3/p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/services.html	(from https://p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/index.html)
09:38:14	33813/33813	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Aug%202023%2004:08:14%20GMT	https://p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/blog-nosidebar.html	C:/My%20Web%20Sites/w3/p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/blog-nosidebar.html	(from https://p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/index.html)
09:38:14	41399/41399	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Aug%202023%2004:08:14%20GMT	https://p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/blog-right-sidebar.html	C:/My%20Web%20Sites/w3/p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/blog-right-sidebar.html	(from https://p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/index.html)
09:38:14	41370/41370	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Aug%202023%2004:08:14%20GMT	https://p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/blog-left-sidebar.html	C:/My%20Web%20Sites/w3/p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/blog-left-sidebar.html	(from https://p.w3layouts.com/demos_new/template_demo/14-05-2022/intelligence-liberty-demo_Free/510988441/web/index.html)
